impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-096805,A520551,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1674534,LOST,Brody,Dog,,Male,Labrador Retriever,Black,02/13/2017 12:00:00 AM,Date Lost,RENTON ISSAQUAH ROAD,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1674534,Image Copyright HLP Inc. 2017,"RENTON ISSAQUAH ROAD
",
K17-096657,A519952,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A519952,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mana,Dog,2 YEARS,Neutered Male,Pit Bull / Mix,Brown / White,02/04/2017 12:00:00 AM,Received on,4500 KLAHANIE DR SE,SAMMAMISH,WA,98029,SAMMAMISH,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A519952,Image Copyright HLP Inc. 2017,"4500 KLAHANIE DR SE
SAMMAMISH, WA 98029
","Received on: 2017-02-04<p></p> Found Near: 4500 KLAHANIE DR SE, SAMMAMISH WA 98029<p></p> Description: Brown / White Neutered Male Pit Bull / Mix Dog<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-096896,A520712,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A520712,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Bailey,Dog,1 YEAR,Spayed Female,Boxer / Mix,Chocolate / White,02/18/2017 12:00:00 AM,Received on,11900 RENTON AVE S,SEATTLE,WA,98178,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A520712,Image Copyright HLP Inc. 2017,"11900 RENTON AVE S
SEATTLE, WA 98178
","Received on: 2017-02-18<p></p> Found Near: 11900 RENTON AVE S, SEATTLE WA 98178<p></p> Description: Chocolate / White Spayed Female Boxer / Mix Dog<p></p> Age: 1 YEAR<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-096942,A520762,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A520762,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Piper,Dog,1 YEAR,Spayed Female,German Shepherd,Black / Tan,02/21/2017 12:00:00 AM,Received on,27900 32ND PL S,AUBURN,WA,98001,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A520762,Image Copyright HLP Inc. 2017,"27900 32ND PL S
AUBURN, WA 98001
","Received on: 2017-02-21<p></p> Found Near: 27900 32ND PL S, AUBURN WA 98001<p></p> Description: Black / Tan Spayed Female German Shepherd Dog<p></p> Age: 1 YEAR<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-095796,A517133,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Dusty,Rabbit Sh,2 YEARS,Spayed Female,Rabbit Sh,Silver,12/16/2016 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A517133,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2016-12-16<p></p> Description: Silver Spayed Female Rabbit Sh Rabbit Sh<p></p> Age: 2 YEARS<p></p> Current Location: In RASKC Foster Home <p></p>Hi, my name is Dusty and I'm at the King County Pet Adoption Center waiting for a new home.  You can also find me by my ID #A517133. I am a 2 year old rabbit with a  soft, gray speckled coat! My breed is called a Chinchilla rabbit.<p></p><p></p>I was brought in by a field services officer in the middle of December 2016. During my stay I have been very mellow and enjoy being pet! <p></p><p></p>I like to be snuggled when I'm in the mood but a lot of the time I just like to hop around and eat my hay. I was brought in with several other rabbits so I may be open to a rabbit friend.<p></p><p></p>I can't wait to find my new forever home that will give me the care I need and the space to hop around and lounge. I also would prefer to be housed inside in my next home where I can feel safe and comfortable. My diet consists of Timothy Hay, pellets and fresh greens and my hay should be available to me at all times. I am already fixed and my adoption comes with a free vet exam!<p></p><p></p>Come meet me today at the King County Pet Adoption Center, or call (206) 296-3936 to learn more about me!<p></p>Adoption Fee: $30<p></p>"
K17-096984,A521173,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1678955,LOST,Sirius,Cat,,Male,American Shorthair,Unknown,02/23/2017 12:00:00 AM,Date Lost,FLORENTIA STREET & WARREN AVENUE N,SEATTLE,WA,98109,SEATTLE,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1678955,Image Copyright HLP Inc. 2017,"FLORENTIA STREET &amp; WARREN AVENUE N
SEATTLE, WA 98109
",
K17-096820,A520569,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,3 MONTHS,Male,Domestic Shorthair,Black / White,02/14/2017 12:00:00 AM,Received on,2631600 44TH AVE S,AUBURN,WA,98001,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A520569,Image Copyright HLP Inc. 2017,"2631600 44TH AVE S
AUBURN, WA 98001
","Received on: 2017-02-14<p></p> Found Near: 2631600 44TH AVE S, AUBURN WA 98001<p></p> Description: Black / White Male Domestic Shorthair Cat<p></p> Age: 3 MONTHS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-096728,A520219,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A520219,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Smoky,Cat,4 YEARS,Spayed Female,Domestic Longhair,Gray Tabby,02/08/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A520219,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-02-08<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Gray Tabby Spayed Female Domestic Longhair Cat<p></p> Age: 4 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>"
K17-096649,A519949,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1670139,LOST,Cooper,Dog,,Male,Pomeranian,Unknown,02/03/2017 12:00:00 AM,Date Lost,13700 NE 76TH & 80TH PL,REDMOND,WA,98052,REDMOND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1670139,Image Copyright HLP Inc. 2017,"13700 NE 76TH &amp; 80TH PL
REDMOND, WA 98052
",
K17-097000,A521199,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A521199,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Mr. Cute,Cat,9 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,02/25/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A521199,Image Copyright HLP Inc. 2017,,"Received on: 2017-02-25<p></p> Description: Org Tabby<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 9 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Mr. Cute and I am available for adoption at the RASKC Pet Adoption Center in Kent.<p></p><p></p>I was brought in by my previous owner on 02/22/2017 because they were moving. I lived in a home with other cats. My previous owner described me as shy and vocal.<p></p><p></p>My personality color is BLUE.  I am a gentle and loving cat who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up.  Once I get to know you, I will be a very devoted friend!<p></p><p></p>I am an independent kitty who likes to do my own thing!<p></p><p></p>My caregivers have noticed that I seem to do well with other cats.  When meeting cats in a new home, I would do best with a slow introduction.<p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-096406,A519031,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1664688,LOST,Winston,Dog,,Male,American Staffordshire,Unknown,01/21/2017 12:00:00 AM,Date Lost,SE 256TH STREET & 109TH PLACE SE,KENT,WA,98030,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1664688,Image Copyright HLP Inc. 2017,"SE 256TH STREET &amp; 109TH PLACE SE
KENT, WA 98030
",
K17-096999,A521198,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A521198,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Fuzzy,Cat,9 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,02/25/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A521198,Image Copyright HLP Inc. 2017,,"Received on: 2017-02-25<p></p> Description: Org Tabby<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 9 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Fuzzy and I am available for adoption at the RASKC Pet Adoption Center in Kent.<p></p><p></p>I was brought in by my previous owner on 02/22/2017 because they were moving.  I lived in a home with other cats. My previous owner described me as shy and loving. <p></p><p></p>My personality color is BLUE.  I am a gentle and loving cat who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up.  Once I get to know you, I will be a very devoted friend!<p></p><p></p>My caregivers have noticed that I seem to do well with other cats.  When meeting cats in a new home, I would do best with a slow introduction.<p></p><p></p>Because of my shy nature, I would do best in a calm, quiet home.<p></p> Adoption Fee: $30.00<p></p>"
K17-096640,A519941,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A519941,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 MONTHS,Male,Domestic Shorthair,Black / White,02/03/2017 12:00:00 AM,Received on,20600 SE 291ST PL,KENT,WA,98042,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A519941,Image Copyright HLP Inc. 2017,"20600 SE 291ST PL
KENT, WA 98042
","Received on: 2017-02-03<p></p> Found Near: 20600 SE 291ST PL, KENT WA 98042<p></p> Description: Black / White Male Domestic Shorthair Cat<p></p> Age: 6 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-096952,A520927,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A520927,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Chico,Dog,3 YEARS,Male,Pit Bull,White,02/22/2017 12:00:00 AM,Received on,21400 SE 268TH PL,MAPLE VALLEY,WA,98038,MAPLE VALLEY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A520927,Image Copyright HLP Inc. 2017,"21400 SE 268TH PL
MAPLE VALLEY, WA 98038
","Received on: 2017-02-22<p></p> Found Near: 21400 SE 268TH PL, MAPLE VALLEY WA 98038<p></p> Description: White Male Pit Bull Dog<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K16-095767,A260496,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Rascal,Cat,14 YEARS,Neutered Male,Domestic Mediumhair,White / Gray,12/14/2016 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A260496,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)",Received on: 2016-12-14<p></p> Description: White / Gray Neutered Male Domestic Mediumhair Cat<p></p> Age: 14 YEARS<p></p> Current Location: In RASKC Foster Home <p></p><p></p>Adoption Fee: $30.00<p></p>
K16-095921,A517482,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A517482,Meowtropolitan,Sweetie Pie,Cat,8 YEARS,Neutered Male,Siamese / Mix,Seal Pt / White,12/23/2016 12:00:00 AM,Received on,3800 S 312TH ST,AUBURN,WA,98001,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A517482,Image Copyright HLP Inc. 2017,"3800 S 312TH ST
AUBURN, WA 98001
","Received on: 2016-12-23<p></p> Found Near: 3800 S 312TH ST, AUBURN WA 98001<p></p> Description: Seal Pt / White Neutered Male Siamese / Mix Cat<p></p> Age: 8 YEARS<p></p> Current Location: Meowtropolitan<p></p>"
K17-096752,A520318,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,Black,02/10/2017 12:00:00 AM,Received on,14700 26TH AVE NE,SHORELINE,WA,98155,SHORELINE,,,,Image Copyright HLP Inc. 2017,"14700 26TH AVE NE
SHORELINE, WA 98155
","Received on: 2017-02-10<p></p> Found Near: 14700 26TH AVE NE, SHORELINE WA 98155<p></p> Description: Black Unaltered Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
K17-096901,A520715,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A520715,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Rico,Dog,8 YEARS,Neutered Male,Chihuahua - Long Haired,Cream,02/18/2017 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A520715,Image Copyright HLP Inc. 2017,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2017-02-18<p></p> Description: Cream<p></p>  Neutered Male Chihuahua - Long Haired Dog<p></p> Age: 8 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi!  My name is Rico and I am available for adoption at the Eastside Pet Adoption Center inside the Kirkland Petco. You can also find me by my animal ID #520715.<p></p><p></p>I was brought in by my previous owner, with my friends Lala #A520717 and Usher #A520716, on February 18, 2017 because they could no longer care for us. I lived in a home with other small dogs and older children. My previous owner described me as shy at first but very loving!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! I am always smiling!<p></p><p></p>My personality color is GREEN.  I am an adaptable dog who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I'd love to meet you! Come meet me today at the Eastside Pet Adoption Center inside the Kirkland Petco, or call (425) 406-8081 to learn more about me!<p></p> Adoption Fee: $150.00<p></p>"
K17-096882,A513493,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,Ace,Dead Dog,3 YEARS,Neutered Male,Siberian Husky,Gray / White,02/18/2017 12:00:00 AM,Received on,19200 SE 272ND ST,KENT,WA,98042,KING COUNTY,,,,Image Copyright HLP Inc. 2017,"19200 SE 272ND ST
KENT, WA 98042
","Received on: 2017-02-18<p></p> Found Near: 19200 SE 272ND ST, KENT WA 98042<p></p> Description: Gray / White Neutered Male Siberian Husky Dog<p></p> Age: 3 YEARS<p></p>"
K17-097026,A521315,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Goat,NO AGE,Female,Goat,Tan / White,02/27/2017 12:00:00 AM,Received on,26500 BLACK DIAMOND RAVENSDALE RD SE,RAVENSDALE,WA,98051,KING COUNTY,47.351428,-121.987292,,Image Copyright HLP Inc. 2017,"26500 BLACK DIAMOND RAVENSDALE RD SE
RAVENSDALE, WA 98051
(47.351428, -121.987292)","Received on: 2017-02-27<p></p> Found Near: 26500 BLACK DIAMOND RAVENSDALE RD SE, RAVENSDALE WA 98051<p></p> Description: Tan / White Female Goat Goat<p></p> Age: NO AGE<p></p>"
K17-096534,A519492,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1667271,LOST,Winston,Dog,,Male,American Staffordshire,Unknown,01/20/2017 12:00:00 AM,Date Lost,256TH & 109TH NEAR KENT KANGLY,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1667271,Image Copyright HLP Inc. 2017,"256TH &amp; 109TH NEAR KENT KANGLY
",
K17-097034,A521344,Regional Animal Services of King County,FOUND,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1680174,In Public Home,,Dog,Over 1 year,Female,Labrador Retriever,Black,02/27/2017 12:00:00 AM,Date Found,13400 SE 236TH PL,KENT,WA,98042,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1680174,Image Copyright HLP Inc. 2017,"13400 SE 236TH PL
KENT, WA 98042
",Description: we Found the dog wondering in our neighborhood.  there is a collar but no name on the collar. we brought the dog home and feed her some food.<p></p>Age: Over 1 year<p></p>Location Found: 13404 SE 236TH PL<p></p>Notes: <p></p>Found Date: 02/27/2017<p></p>Finder Address:  KENT WA 98042-3
K17-097029,A521323,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A521323,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,1 YEAR,Unaltered,Domestic Shorthair,Black,02/27/2017 12:00:00 AM,Received on,3900 S 238TH ST,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A521323,Image Copyright HLP Inc. 2017,"3900 S 238TH ST
KENT, WA 98032
","Received on: 2017-02-27<p></p> Found Near: 3900 S 238TH ST, KENT WA 98032<p></p> Description: Black Unaltered Domestic Shorthair Cat<p></p> Age: 1 YEAR<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-096710,A520201,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A520201,"Reber Ranch 28606 132ND AVE SE KENT, WA 98042",Mischief,Cat,9 YEARS,Neutered Male,Domestic Shorthair,Black / White,02/08/2017 12:00:00 AM,Received on,28606 132ND AVE SE,KENT,WA,98042,KENT,47.344857,-122.164359,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A520201,Image Copyright HLP Inc. 2017,"28606 132ND AVE SE
KENT, WA 98042
(47.344857, -122.164359)","Received on: 2017-02-08<p></p> Description: Black / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 9 YEARS<p></p> Current Location: Reber Ranch 28606 132ND AVE SE KENT, WA 98042<p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-096565,A519610,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,Brn Tabby,01/30/2017 12:00:00 AM,Received on,26100 68TH AVE S,KENT,WA,98032,KING COUNTY,47.367938,-122.249222,,Image Copyright HLP Inc. 2017,"26100 68TH AVE S
KENT, WA 98032
(47.367938, -122.249222)","Received on: 2017-01-30<p></p> Found Near: 26100 68TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
K17-096725,A520217,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A520217,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Momma,Cat,6 YEARS,Spayed Female,Domestic Longhair,Black / White,02/08/2017 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A520217,Image Copyright HLP Inc. 2017,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2017-02-08<p></p> Description: Black / White<p></p>  Spayed Female Domestic Longhair Cat<p></p> Age: 6 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi, my name is Momma and I'm at the Eastside Pet Adoption Center inside the Kirkland Petco waiting for a new home.  You can also find me by my ID #A520217. I am a fluffy black, gray, and white 6 year old spayed female!<p></p><p></p>I was originally brought in with my daughter Smoky #A520219 to a shelter in Eastern Washington in November 2016 after our previous owner passed away. I was then transferred with my daughter to RASKC on February 8, 2017.<p></p><p></p>My caregivers have noticed that I love to purr and &quot;make biscuits&quot; with my paws while being petted. I am also very gentle and loving. <p></p><p></p>I am looking for a family that will love me as much as I'll love them! I will also need regular grooming so that my long, thick fur does not become matted. I would do best in a home with respectful children that will be gentle with me.<p></p><p></p>My personality color is GREEN.  I am an adaptable cat who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>If your home is big enough for two very fluffy cats, my daughter and I would love to be adopted together! We love to lie together and groom one another. If adopted separately, we may do well with a feline friend in our new home to bond to.<p></p><p></p>I'd love to meet you! Come meet me today at the Eastside Pet Adoption Center inside the Kirkland Petco, or call (425) 406-8081 to learn more about me!<p></p> Adoption Fee: $30.00<p></p>"
K16-095495,A516009,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Samara,Cat,1 YEAR 2 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby / Tortie,12/02/2016 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A516009,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2016-12-02<p></p> Description: Brn Tabby / Tortie Spayed Female Domestic Shorthair Cat<p></p> Age: 1 YEAR 2 MONTHS<p></p> Current Location: In RASKC Foster Home <p></p>My name is Samara and I am a somewhat petite girl, weighing about 9 pounds. I am a little over a year old. I came to the shelter as a stray with a broken leg. So I have had time in a foster home to heal up before I am adopted. After my leg healed I have been just fine, without any deformity or problems related to it. The good part is that since I have been in foster care they know a lot about me, my personality and habits.  It makes it much less of an unknown for anyone who wants to adopt me.<p></p>So here's what my foster mom says about me: &quot;Samara is a somewhat timid girl at times and walks or runs away when  approached with the following exceptions,1) is when I'm in the kitchen - she's a good eater and always up for food, even rubs against my legs and lets me pet her. 2)The other instance is if she's lying on a chair or couch or on the cat tree. I can walk up to her and pet her and she purrs up a storm. She will even lie on my lap. She gets along with my two senior boy cats.  She has not been around dogs at my house. She's very good with the litter box.&quot; <p></p>So that is what my foster mom says. Now, since I am a bit on the timid side at times(all of us cats have our own unique personalities) it would be best to be in a quiet household where if children are present they will be respectful of my need to have my own personal space.  I will need time to adjust to a new family. I have my vaccinations,am microchipped and am healthy...now all I need is my own family. Please ask to see me, you will get yourself one wonderful cat!<p></p>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-096637,A519938,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A519938,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 MONTHS,Male,Domestic Shorthair,Gray / White,02/03/2017 12:00:00 AM,Received on,20600 SE 291ST PL,KENT,WA,98042,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A519938,Image Copyright HLP Inc. 2017,"20600 SE 291ST PL
KENT, WA 98042
","Received on: 2017-02-03<p></p> Found Near: 20600 SE 291ST PL, KENT WA 98042<p></p> Description: Gray / White Male Domestic Shorthair Cat<p></p> Age: 6 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-096635,A519936,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A519936,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 MONTHS,Female,Domestic Shorthair,Black,02/03/2017 12:00:00 AM,Received on,20600 SE 291ST PL,KENT,WA,98042,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A519936,Image Copyright HLP Inc. 2017,"20600 SE 291ST PL
KENT, WA 98042
","Received on: 2017-02-03<p></p> Found Near: 20600 SE 291ST PL, KENT WA 98042<p></p> Description: Black Female Domestic Shorthair Cat<p></p> Age: 6 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-096888,A520706,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Dog,6 YEARS,Female,Shih Tzu / Mix,Gray / White,02/18/2017 12:00:00 AM,Received on,20100 108TH AVE SE,KENT,WA,98031,KENT,47.422688,-122.197042,,Image Copyright HLP Inc. 2017,"20100 108TH AVE SE
KENT, WA 98031
(47.422688, -122.197042)","Received on: 2017-02-18<p></p> Found Near: 20100 108TH AVE SE, KENT WA 98031<p></p> Description: Gray / White Female Shih Tzu / Mix Dog<p></p> Age: 6 YEARS<p></p>"
K17-097002,A521201,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A521201,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Molly,Cat,14 YEARS,Spayed Female,Domestic Shorthair,Brn Tabby / Tortie,02/25/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A521201,Image Copyright HLP Inc. 2017,,"Received on: 2017-02-25<p></p> Description: Brn Tabby / Tortie<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 14 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Molly and I am available for adoption at the RASKC Pet Adoption Center in Kent.<p></p><p></p>I was brought in by my previous owner on 02/25/2017 because they were moving.  I lived in a home with other cats.  My previous owner described me as shy and timid.<p></p><p></p>My personality color is BLUE.  I am a gentle and loving cat who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up.  Once I get to know you, I will be a very devoted friend!<p></p><p></p>I am an independent kitty who likes to do my own thing!<p></p><p></p>My caregivers have noticed that I seem to do well with other cats.  When meeting cats in a new home, I would do best with a slow introduction.<p></p><p></p>Because of my shy nature, I would do best in a calm, quiet home.<p></p> Adoption Fee: $30.00<p></p>"
